iter	Logloss
0	0.487716991
1	0.3687214262
2	0.2905386177
3	0.236252518
4	0.1980845858
5	0.1707940067
6	0.1511498847
7	0.1361972737
8	0.1248928413
9	0.116601846
10	0.1101662635
11	0.105007621
12	0.1012052665
13	0.09819116098
14	0.09553668502
15	0.09332802061
16	0.09198549958
17	0.09078440387
18	0.08941741089
19	0.08833654564
20	0.08712855462
21	0.08634372042
22	0.0858912216
23	0.08499461473
24	0.08466014594
25	0.08422498199
26	0.08376871655
27	0.0829114068
28	0.08226195875
29	0.08176852706
30	0.08148767922
31	0.08100689376
32	0.08050509465
33	0.08020231577
34	0.0798029821
35	0.07955469047
36	0.07927176678
37	0.07889418849
38	0.07857152159
39	0.07804212834
40	0.07757519797
41	0.07713115071
42	0.07657207844
43	0.07615084701
44	0.07567887461
45	0.07513363201
46	0.07477708725
47	0.07445227031
48	0.07416043788
49	0.07389723301
50	0.0736188662
51	0.0732157673
52	0.07297446181
53	0.07271934145
54	0.0725497157
55	0.07209409144
56	0.07165069367
57	0.07150744097
58	0.07121174924
59	0.07071921436
60	0.07045733322
61	0.07006390512
62	0.06964665897
63	0.06955211508
64	0.06931095382
65	0.06916493255
66	0.06886744534
67	0.06858431571
68	0.06842610331
69	0.06825643758
70	0.06813307497
71	0.06776691604
72	0.06740428057
73	0.06700574664
74	0.06684282782
75	0.06660946191
76	0.06628765669
77	0.06618178937
78	0.06589263652
79	0.06579862101
80	0.06565435778
81	0.06551398621
82	0.06541895416
83	0.06525066069
84	0.06497776722
85	0.06473978873
86	0.06461959433
87	0.06453396635
88	0.06421381007
89	0.06414512448
90	0.0639003688
91	0.06343544078
92	0.06337757222
93	0.06323416049
94	0.06306807624
95	0.06284895951
96	0.06261250052
97	0.06243500268
98	0.06218447757
99	0.06196818396
