model,precision,recall,f1,pr_auc
catboost,0.8953271028037383,0.8202054794520548,0.8561215370866846,0.945211798485733
lightgbm,0.8852459016393442,0.8321917808219178,0.8578993821712269,0.9451580787210205
logistic_regression,0.7225130890052356,0.9452054794520548,0.8189910979228486,0.9437834030089652
random_forest,0.8895027624309392,0.827054794520548,0.8571428571428571,0.9410094394249057
xgboost,0.8821362799263351,0.8202054794520548,0.8500443655723158,0.9395990409673189
mlp,0.8704761904761905,0.7825342465753424,0.8241659152389541,0.9195433476581751
