model,precision,recall,f1,pr_auc,roc_auc,threshold,tn,fp,fn,tp
logistic_regression,0.8951612903225806,0.8951612903225806,0.8951612903225806,0.9628155731236835,0.992087891538102,0.84,3385,65,65,555
xgboost,0.870253164556962,0.8870967741935484,0.8785942492012779,0.9574313906469042,0.990312762973352,0.76,3368,82,70,550
lightgbm,0.8766025641025641,0.882258064516129,0.8794212218649518,0.9555149695966703,0.9901056568489949,0.71,3373,77,73,547
random_forest,0.8901830282861897,0.8629032258064516,0.8763308763308764,0.9541294637755467,0.9899878447872839,0.62,3384,66,85,535
